"PlayerNumber","SetNumber","SetDescription","Set","Name","Team","Country","BasePrice","Skillset","Auctioned","Sold","Owner","Price"
-32,-1,"M-1","SET:-1|M-1","Ravindra Jadeja","CSK","India",4,"ALL-ROUNDER","Yes","Yes","Vijay","13.5"
-28,-1,"M-1","SET:-1|M-1","Virat Kohli","RCB","India",4,"BATSMAN","Yes","Yes","Swamy","16.75"
-27,-1,"M-1","SET:-1|M-1","Glenn Maxwell","RCB","Australia",4,"ALL-ROUNDER","Yes","Yes","Shankar","15.5"
-25,-1,"M-1","SET:-1|M-1","Rohit Sharma","MI","India",4,"BATSMAN","Yes","Yes","Dom/Anja","16.25"
-24,-1,"M-1","SET:-1|M-1","Jasprit Bumrah","MI","India",4,"BOWLER","Yes","Yes","Vijay","16"
-22,-1,"M-1","SET:-1|M-1","Suryakumar Yadav","MI","India",4,"BATSMAN","Yes","Yes","Akshay/Arjun","14.25"
-19,-1,"M-1","SET:-1|M-1","Rishabh Pant","DC","India",4,"WICKETKEEPER","Yes","Yes","Vicky/Adhok","14.5"
-11,-1,"M-1","SET:-1|M-1","Sanju Samson","RR","India",4,"WICKETKEEPER","Yes","Yes","Swamy","14.25"
-10,-1,"M-1","SET:-1|M-1","Jos Buttler","RR","England",4,"WICKETKEEPER","Yes","Yes","Dom/Anja","15.25"
-8,-1,"M-1","SET:-1|M-1","Kane Williamson","SRH","New Zealand",4,"BATSMAN","Yes","Yes","Swamy","11.25"
-5,-1,"M-1","SET:-1|M-1","KL Rahul","LSG","India",4,"WICKETKEEPER","Yes","Yes","Shankar","20"
-2,-1,"M-1","SET:-1|M-1","Hardik Pandya","GT","India",4,"ALL-ROUNDER","Yes","Yes","Akshay/Arjun","11.75"
-1,-1,"M-1","SET:-1|M-1","Rashid Khan","GT","Afghanistan",4,"BOWLER","Yes","Yes","Venkat/Gopal","17"
-30,0,"M0","SET:0|M0","Ruturaj Gaikwad","CSK","India",3,"BATSMAN","Yes","Yes","Raghu","15"
-29,0,"M0","SET:0|M0","Moeen Ali","CSK","England",3,"ALL-ROUNDER","Yes","Yes","Venkat/Gopal","14.75"
-26,0,"M0","SET:0|M0","Mohammed Siraj","RCB","India",3,"BOWLER","Yes","Yes","Vijay","7"
-21,0,"M0","SET:0|M0","Mayank Agarwal","PK","India",3,"BATSMAN","Yes","Yes","Vijay","13.25"
-18,0,"M0","SET:0|M0","Prithvi Shaw","DC","India",3,"BATSMAN","Yes","Yes","Raghu","14.25"
-13,0,"M0","SET:0|M0","Andre Russell","KKR","West Indies",3,"ALL-ROUNDER","Yes","Yes","Akshay/Arjun","12.75"
-4,0,"M0","SET:0|M0","Marcus Stoinis","LSG","Australia",3,"ALL-ROUNDER","Yes","Yes","Dom/Anja","8.5"
-3,0,"M0","SET:0|M0","Ravi Bishnoi","LSG","India",3,"BOWLER","Yes","Yes","Vicky/Adhok","11"
0,0,"M0","SET:0|M0","Shubman Gill","GT","India",3,"BATSMAN","Yes","Yes","Swamy","9.5"
-23,1,"M","SET:1|M","Kieron Pollard","MI","West Indies",2,"ALL-ROUNDER","Yes","Yes","Venkat/Gopal","5.25"
-16,1,"M","SET:1|M","Anrich Nortje","DC","South Africa",2,"BOWLER","Yes","Yes","Akshay/Arjun","7.25"
-12,1,"M","SET:1|M","Varun Chakravarthy","KKR","India",2,"BOWLER","Yes","Yes","Swamy","9.25"
1,1,"M","SET:1|M","R. Ashwin","RR","India",2,"ALL-ROUNDER","Yes","Yes","Venkat/Gopal","7.25"
2,1,"M","SET:1|M","Trent Boult","RR","New Zealand",2,"BOWLER","Yes","Yes","Shankar","11.75"
3,1,"M","SET:1|M","Pat Cummins","KKR","Australia",2,"ALL-ROUNDER","Yes","Yes","Vicky/Adhok","7.25"
4,1,"M","SET:1|M","Quinton De Kock","LSG","South Africa",2,"WICKETKEEPER","Yes","Yes","Shankar","10.75"
5,1,"M","SET:1|M","Shikhar Dhawan","PK","India",2,"BATSMAN","Yes","Yes","Raghu","14"
6,1,"M","SET:1|M","Faf Du Plessis","RCB","South Africa",2,"BATSMAN","Yes","Yes","Dom/Anja","12.25"
7,1,"M","SET:1|M","Shreyas Iyer","KKR","India",2,"BATSMAN","Yes","Yes","Akshay/Arjun","8.5"
8,1,"M","SET:1|M","Kagiso Rabada","PK","South Africa",2,"BOWLER","Yes","Yes","Raghu","7.5"
9,1,"M","SET:1|M","Mohammad Shami","GT","India",2,"BOWLER","Yes","Yes","Raghu","8.25"
10,1,"M","SET:1|M","David Warner","DC","Australia",2,"BATSMAN","Yes","Yes","Vicky/Adhok","13"
-9,2,"BA1","SET:2|BA1","Yashasvi Jaiswal","RR","India",2,"BATSMAN","Yes","Yes","Venkat/Gopal","5.25"
11,2,"BA1","SET:2|BA1","Shimron Hetmyer","RR","West Indies",1.5,"BATSMAN","Yes","Yes","Vijay","4"
12,2,"BA1","SET:2|BA1","David Miller","GT","South Africa",1,"BATSMAN","Yes","No",NA,NA
13,2,"BA1","SET:2|BA1","Devdutt Padikkal","RR","India",2,"BATSMAN","Yes","Yes","Akshay/Arjun","5.5"
14,2,"BA1","SET:2|BA1","Manish Pandey","LSG","India",1,"BATSMAN","Yes","Yes","Vicky/Adhok","4.6"
16,2,"BA1","SET:2|BA1","Jason Roy","GT","England",2,"BATSMAN","Yes","Yes","Vijay","5.25"
18,2,"BA1","SET:2|BA1","Robin Uthappa","CSK","India",2,"BATSMAN","Yes","Yes","Dom/Anja","3"
-17,3,"AL1","SET:3|AL1","Axar Patel","DC","India",2,"ALL-ROUNDER","Yes","Yes","Swamy","4.6"
